State,District,Type
Andhra Pradesh ,Alluri Sitharama Raju,Aspirational 
Andhra Pradesh ,Anakapalli,Non Aspirational
Andhra Pradesh ,Ananthapuramu,Non Aspirational
Andhra Pradesh ,Annamayya,Non Aspirational
Andhra Pradesh ,Bapatla,Non Aspirational
Andhra Pradesh ,Chittoor,Non Aspirational
Andhra Pradesh ,Dr. B.R. Ambedkar Konaseema,Non Aspirational
Andhra Pradesh ,East Godavari,Non Aspirational
Andhra Pradesh ,Eluru,Non Aspirational
Andhra Pradesh ,Guntur,Non Aspirational
Andhra Pradesh ,Kakinada,Non Aspirational
Andhra Pradesh ,Krishna,Non Aspirational
Andhra Pradesh ,Kurnool,Non Aspirational
Andhra Pradesh ,Nandyal,Non Aspirational
Andhra Pradesh ,NTR,Non Aspirational
Andhra Pradesh ,Palnadu,Non Aspirational
Andhra Pradesh ,Parvathipuram Manyam,Aspirational 
Andhra Pradesh ,Prakasam,Non Aspirational
Andhra Pradesh ,Srikakulam,Non Aspirational
Andhra Pradesh ,Sri Potti Sriramulu Nellore,Non Aspirational
Andhra Pradesh ,Sri Sathya Sai,Non Aspirational
Andhra Pradesh ,Tirupati,Non Aspirational
Andhra Pradesh ,Visakhapatnam,Non Aspirational
Andhra Pradesh ,Vizianagaram,Non Aspirational
Andhra Pradesh ,West Godavari,Non Aspirational
Andhra Pradesh ,YSR Kadapa,Aspirational 
Arunachal Pradesh ,Anjaw,Non Aspirational
Arunachal Pradesh ,Changlang,Non Aspirational
Arunachal Pradesh ,Dibang Valley,Non Aspirational
Arunachal Pradesh ,East Kameng,Non Aspirational
Arunachal Pradesh ,East Siang,Non Aspirational
Arunachal Pradesh ,Kamle,Non Aspirational
Arunachal Pradesh ,Kra Daadi,Non Aspirational
Arunachal Pradesh ,Kurung Kumey,Non Aspirational
Arunachal Pradesh ,Lepa Rada,Non Aspirational
Arunachal Pradesh ,Lohit,Non Aspirational
Arunachal Pradesh ,Longding,Non Aspirational
Arunachal Pradesh ,Lower Dibang Valley,Non Aspirational
Arunachal Pradesh ,Lower Siang,Non Aspirational
Arunachal Pradesh ,Lower Subansiri,Non Aspirational
Arunachal Pradesh ,Namsai,Aspirational 
Arunachal Pradesh ,Pakke-Kessang,Non Aspirational
Arunachal Pradesh ,Papum Pare,Non Aspirational
Arunachal Pradesh ,Shi Yomi,Non Aspirational
Arunachal Pradesh ,Siang,Non Aspirational
Arunachal Pradesh ,Tawang,Non Aspirational
Arunachal Pradesh ,Tirap,Non Aspirational
Arunachal Pradesh ,Upper Dibang Valley,Non Aspirational
Arunachal Pradesh ,Upper Siang,Non Aspirational
Arunachal Pradesh ,Upper Subansiri,Non Aspirational
Arunachal Pradesh ,West Kameng,Non Aspirational
Arunachal Pradesh ,West Siang,Non Aspirational
Arunachal Pradesh ,Keyi Panyor,Non Aspirational
Assam ,Baksa,Aspirational 
Assam ,Bajali,Non Aspirational
Assam ,Barpeta,Aspirational 
Assam ,Biswanath,Non Aspirational
Assam ,Bongaigaon,Non Aspirational
Assam ,Cachar,Non Aspirational
Assam ,Charaideo,Non Aspirational
Assam ,Chirang,Non Aspirational
Assam ,Darrang,Aspirational 
Assam ,Dhemaji,Non Aspirational
Assam ,Dhubri,Aspirational 
Assam ,Dibrugarh,Non Aspirational
Assam ,Dima Hasao,Non Aspirational
Assam ,Goalpara,Aspirational 
Assam ,Golaghat,Non Aspirational
Assam ,Hailakandi,Aspirational 
Assam ,Hojai,Non Aspirational
Assam ,Jorhat,Non Aspirational
Assam ,Kamrup,Non Aspirational
Assam ,Kamrup Metropolitan,Non Aspirational
Assam ,Karbi Anglong,Non Aspirational
Assam ,Karimganj,Non Aspirational
Assam ,Kokrajhar,Non Aspirational
Assam ,Lakhimpur,Non Aspirational
Assam ,Majuli,Non Aspirational
Assam ,Morigaon,Non Aspirational
Assam ,Nagaon,Non Aspirational
Assam ,Nalbari,Non Aspirational
Assam ,Sivasagar,Non Aspirational
Assam ,s,Non Aspirational
Assam ,South Salmara-Mankachar,Non Aspirational
Assam ,Tamulpur,Non Aspirational
Assam ,Tinsukia,Non Aspirational
Assam ,Udalguri,Aspirational 
Assam ,West Karbi Anglong ,Non Aspirational
Bihar ,Araria,Aspirational 
Bihar ,Arwal,Non Aspirational
Bihar ,Aurangabad,Aspirational 
Bihar ,Banka,Aspirational 
Bihar ,Begusarai,Aspirational 
Bihar ,Bhagalpur,Non Aspirational
Bihar ,Bhojpur,Non Aspirational
Bihar ,Buxar,Non Aspirational
