Specialty,Specialty Code,Package Name,Procedure Code,Procedure Name,Procedure Price
Burns Management,BM,Thermal burns,BM001A,Criteria 1: % Total Body Surface Area Burns (TBSA):less than 20% in adults and less than 10% in children younger  than 12 years. Dressing without anesthesia,8200
Burns Management,BM,Thermal burns,BM001B,"Criteria 2: % Total Body Surface Area Burns (TBSA): Upto 25%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,Thermal burns,BM001C," Criteria 3: % Total Body Surface Area Burns (TBSA): 25-40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,Thermal burns,BM001D,"Criteria 4: % Total Body Surface Area Burns (TBSA):40- 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,Thermal burns,BM001E,"Criteria 5: % Total Body Surface Area Burns (TBSA):60-80 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,Scald burns,BM002A,Criteria 1:  % Total Body Surface Area Burns (TBSA): less than 20% in adults and less than 10% in children younger  than 12 years. Dressing without anesthesia,7000
Burns Management,BM,Scald burns,BM002B,"Criteria 2: % Total Body Surface Area Burns (TBSA): Upto 25%; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,Scald burns,BM002C," Criteria 3: % Total Body Surface Area Burns (TBSA): 25-40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,Scald burns,BM002D,"Criteria 4: % Total Body Surface Area Burns (TBSA):40- 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,Scald burns,BM002E,"Criteria 5: % Total Body Surface Area Burns (TBSA):60-80 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
Burns Management,BM,Flame burns,BM003A,"% Total Body Surface Area Burns (TBSA) - any % 
(not requiring admission). 
Needs at least 5-6 dressing",7000
Burns Management,BM,Flame burns,BM003B,"% Total Body Surface Area Burns (TBSA): Upto 40 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",40000
Burns Management,BM,Flame burns,BM003C,"% Total Body Surface Area Burns (TBSA): 40 % - 60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",50000
Burns Management,BM,Flame burns,BM003D,"% Total Body Surface Area Burns (TBSA): >  60 %; Includes % TBSA skin grafted, flap cover, follow-up dressings etc. as deemed necessary; Surgical procedures are required for deep burns that are not amenable to heal with dressings alone.",80000
